Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References,Compilation_Source,,UTM_Zone,UTM_Easting,UTM_Northing,Comment,Tectonic_Unit
AG97-2509A,1071,26,14,U/Pb,Metamorphic,upper intercept of three titanite fractions that are concordant to 5.9% discordant; lower intercept of ca. 0.56 Ga,Titanite,TIMS,Direct,Grenville Province,QC,50.80474,-65.93721,NE du Sept-Iles,"Allochthon Polycyclic Belt, Manitou geological belt - Orthogneiss granitique oeille, Complexe de Manitou",Plutonic,Le syenogranite gneissique mais non-migmatise ; megacrysteaux milieu-granuleux et fortement recristallises de K-feldspat,"Wodicka, N., David, J., Parent, M., Gobeil, A. and Verpaelst, P., 2002. Geochronologie U-Pb et Pb-Pb de la region de Sept-Iles - Natashquan, Province de Grenville, Moyenne Cote-Nord; Geologie et ressources minerales de la partie est de la Province de Grenville; Edited by Daniel Brisebois et Thomas Clark, p. 59-118",GSCdatabase,,,,,,
CG84-468A,972,4,4,U/Pb,Metamorphic,"Single concordant fraction, age is 207Pb/206Pb age. The titanite is colinear with 2 discordant zircons, increasing its reliability as being unaffected by subsequent Pb-loss.",Titanite,TIMS,Direct,Grenville Province,NL,54.18812,-57.43431,"Cuff Island, Labrador. Coordinates interpolated from regional-scale sketch map in report (by NGS compilers)",Groswater Bay terrane - Tonalitic-granodioritic gneiss,Plutonic,nebulitic granodiorite,"Scharer, U., Krogh, T.E. and Gower, C.F., 1986. Age and evolution of the Grenville Province in eastern Labrador from U - Pb systematics in accessory minerals; Contributions to Mineralogy and Petrology, v. 94, p. 438-451",GSCdatabase,,,,,,
CG(84)-172B,978,4,4,U/Pb,Metamorphic,"Single concordant fraction, age is 207Pb/206Pb age. Colinear with discordant fractions from this and adjacent qtz-diorite sample (172A).",Titanite,TIMS,Direct,Grenville Province,NL,53.89978,-56.93957,"Double Island, 15 km north-northwest of Cartwright, Labrador. Coordinates interpolated from regional-scale sketch map in report (by NGS compilers)",Groswater Bay terrane - Tonalitic-granodioritic gneiss,Plutonic,granodioritic to tonalitic gneiss,"Scharer, U., Krogh, T.E. and Gower, C.F., 1986. Age and evolution of the Grenville Province in eastern Labrador from U - Pb systematics in accessory minerals; Contributions to Mineralogy and Petrology, v. 94, p. 438-451",GSCdatabase,,,,,,
CG(83)-554,1026,0,0,U/Pb,Metamorphic,"Single v. near concordant fraction, age is 207Pb/206Pb age. Error and %discordance not reported. Consistent with other titanite ages in the area.",Titanite,TIMS,Minimum Direct,Grenville Province,NL,53.97969,-58.84221,"Neveisik Island, Labrador. Coordinates interpolated from regional-scale sketch map in report (by NGS compilers)",Lake Melville terrane - unknown,Plutonic,granodiorite,"Scharer, U., Krogh, T.E. and Gower, C.F., 1986. Age and evolution of the Grenville Province in eastern Labrador from U - Pb systematics in accessory minerals; Contributions to Mineralogy and Petrology, v. 94, p. 438-451",GSCdatabase,,,,,,
CG-84-469,980,4,4,U/Pb,Metamorphic,"Single concordant fraction of metamorphic titanite, age is 207Pb/206Pb age. Is also coincident with lower intercept of regression on zircon data.",Titanite,TIMS,Direct,Grenville Province,NL,54.39339,-57.60709,"Bluff Head, Labrador. Coordinates interpolated from sketch map in report (by NGS compilers)",Groswater Bay terrane - undivided mafic intrusions,Plutonic,hornblende granodiorite,"Scharer, U. and Gower, C.F., 1988. Crustal Evolution in Eastern Labrador: constraints from precise U-Pb ages; Precambrian Research, v. 38, p. 405-421",GSCdatabase,,,,,,
CG-84-475,977,2,2,U/Pb,Metamorphic,"Single concordant (abr) fraction of metamorphic titanite, age is 207Pb/206Pb age.",Titanite,TIMS,Direct,Grenville Province,NL,53.56923,-57.33431,"Paper indicates: 5 km NW of Red Island. NGS comp desc reads: 0.5 km northwest of Saddle Island, Sandwich Bay, Labrador. Coordinates interpolated from sketch map in report (by NGS compilers)",Hawke River terrane - metasedimentary gneiss unit,Metamorphic,sillimanite bearing metasedimentary gneiss,"Scharer, U. and Gower, C.F., 1988. Crustal Evolution in Eastern Labrador: constraints from precise U-Pb ages; Precambrian Research, v. 38, p. 405-421",GSCdatabase,,,,,,
CG-85-492,1642,4,4,U/Pb,Metamorphic,"Single concordant (abr) fraction of metamorphic titanite, age is 207Pb/206Pb age.",Titanite,TIMS,Direct,Grenville Province,NL,53.19337,-55.81009,"Partridge Bay, Labrador. Coordinates interpolated from sketch map in report (by NGS compilers)",Hawke River terrane - diorite to quartz monzonite suite,Plutonic,homogeneous locally migmatized quartz diorite,"Scharer, U. and Gower, C.F., 1988. Crustal Evolution in Eastern Labrador: constraints from precise U-Pb ages; Precambrian Research, v. 38, p. 405-421",GSCdatabase,,,,,,
CG-85-532,1649,4,4,U/Pb,Metamorphic,Single concordant fraction (abr) of metamorphic titanite. Age is 207Pb/206Pb age. Note that text & plot indicate age is 1649 Ma while data table indicates 7/6Pb age is 1648 Ma.,Titanite,TIMS,Direct,Grenville Province,NL,53.24115,-55.76898,"Shoal Bay, 7 km north of Partridge Bay, Labrador. Coordinates interpolated from sketch map in report (by NGS compilers)",Hawke River terrane - diorite to quartz monzonite suite,Plutonic,strongly foliated muscovite-biotite granite,"Scharer, U. and Gower, C.F., 1988. Crustal Evolution in Eastern Labrador: constraints from precise U-Pb ages; Precambrian Research, v. 38, p. 405-421",GSCdatabase,,,,,,
CG-85-654,1646,2,2,U/Pb,Metamorphic,Single v.near concordant fraction (abr) of metamorphic titanite. Age is 207Pb/206Pb age.,Titanite,TIMS,Direct,Grenville Province,NL,53.24587,-55.79592,"Shoal Bay, 7 km north of Partridge Bay, Labrador. Coordinates interpolated from sketch map in report (by NGS compilers)",Hawke River terrane - diorite to quartz monzonite suite,Plutonic,compositionally layered migmatized tonalite - granodiorite gneiss,"Scharer, U. and Gower, C.F., 1988. Crustal Evolution in Eastern Labrador: constraints from precise U-Pb ages; Precambrian Research, v. 38, p. 405-421",GSCdatabase,,,,,,
US-13,987,2,2,U/Pb,Metamorphic,"2 fractions (abr), near-concordant (touch concordia, overlap each other). Age is mean (identical) 206Pb/238U age. 207Pb/206Pb ages are: 993 and 990 Ma.",Titanite,TIMS,Direct,Grenville Province,NL,53.24468,-60.7617,"South bank of Churchill River by lower part of Muskrat Falls, Labrador. Coordinates interpolated from sketch map in report (by NGS compilers)",Mealy Mountains terrane - Lower Brook domain,Plutonic,foliated quartz monzonite,"Philippe, S., Wardle, R.J. and Scharer, U., 1993. Labradorian and Grenvillian crustal evolution of the Goose Bay region, Labrador: new U - Pb geochronological constraints; Canadian Journal of Earth Sciences, v. 30, p. 2315-2327",GSCdatabase,,,,,,
CG(84)-172C,970,0,0,U/Pb,Metamorphic,Single slightly discordant fraction; age is 207Pb/206Pb age. %disc. and error not reported. Consistent with titanite ages for other samples in the locality.,Titanite,TIMS,Estimate,Grenville Province,NL,53.89978,-56.93957,"Double Island, 15 km north - northeast of Cartwright, Labrador. Coordinates interpolated from regional-scale sketch map in report (by NGS compilers)",Groswater Bay terrane - Tonalitic-granodioritic gneiss,Plutonic,garnetiferous biotite pegmatite,"Scharer, U., Krogh, T.E. and Gower, C.F., 1986. Age and evolution of the Grenville Province in eastern Labrador from U - Pb systematics in accessory minerals; Contributions to Mineralogy and Petrology, v. 94, p. 438-451",GSCdatabase,,,,,,
BK-71-77.3B,562,22,22,K/Ar,Metamorphic,Reported as 553 Ma; recalibrated to IUGS (1977) decay constants. K/Ar whole-rock method unreliable. 2 of 2 replicate analyses.,Whole Rock,Ar Furnace-Fusion,Estimate,Grenville Province,NL,51.95005,-55.89899,"On coast, 4.8 km southeast of Henley Harbour, Labrador",Allochthonous Polycyclic Belt - Long Range dykes,,dark purple fine-grained equigranular mafic dyke,"Wanless, R.K., Stevens, R.D., Lachance, G.R. and Delabio, R.N., 1974. Isotopic ages, Report 12; Age determinations and geological studies, Geological Survey of Canada, Paper 74-2, p. 6-63",GSCdatabase,,,,,,
Manicouagan G,286,6,6,K/Ar,Metamorphic,Reported as 280 Ma to old Western constants; recalculated to IUGS (1977) decay constants. Error appears to have been reported to only 1 sigma (doubled herein). K/Ar whole-rock method unreliable.,Whole Rock,Ar Furnace-Fusion,Estimate,Grenville Province,QC,51.417,-68.76137,"Manicouagan crater, near center (location G in report). Coordinates approximated from sketch map in report.","AMCG suite - Anorthosite Shock Sequence, Manicouagan Impact Structure",Metamorphic,"pseudotachylyte with inclusions, reddish matrix","Wolfe, S.H., 1971. Potassium-Argon ages of the Manicouagan-Mushalagan Lakes structure; Journal Of Geophysical Research, v. 76, p. 5424-5436",GSCdatabase,,,,,,
Manicouagan F,281,8,8,K/Ar,Metamorphic,Reported as 275 Ma to old Western constants; recalculated to IUGS (1977) decay constants. Error appears to have been reported to only 1 sigma (doubled herein). K/Ar whole-rock method unreliable.,Whole Rock,Ar Furnace-Fusion,Estimate,Grenville Province,QC,51.3545,-68.67749,"Manicouagan crater, near center (location F in report). Coordinates approximated from sketch map in report.","AMCG Suite - Anorthosite Shock Sequence, Manicouagan Impact Structure",Metamorphic,"amorthosite with heterogeneous garnets, low 2V plagioclase, some thermal glass","Wolfe, S.H., 1971. Potassium-Argon ages of the Manicouagan-Mushalagan Lakes structure; Journal Of Geophysical Research, v. 76, p. 5424-5436",GSCdatabase,,,,,,
Manicouagan E,378,18,18,K/Ar,Metamorphic,Reported as 371 Ma to old Western constants; recalculated to IUGS (1977) decay constants. Error appears to have been reported to only 1 sigma (doubled herein). K/Ar whole-rock method unreliable.,Whole Rock,Ar Furnace-Fusion,Estimate,Grenville Province,QC,51.41256,-68.75499,"Manicouagan crater, near center (location E in report). Coordinates approximated from sketch map in report.","AMCG Suite - Anorthosite Shock Sequence, Manicouagan Impact Structure",Metamorphic,"anorthosite containing thermal glass, low 2V plagioclase, and heterogeneous garnet","Wolfe, S.H., 1971. Potassium-Argon ages of the Manicouagan-Mushalagan Lakes structure; Journal Of Geophysical Research, v. 76, p. 5424-5436",GSCdatabase,,,,,,
Manicouagan D,541,16,16,K/Ar,Metamorphic,Reported as 532 Ma to old Western constants; recalculated to IUGS (1977) decay constants. Error appears to have been reported to only 1 sigma (doubled herein). K/Ar whole-rock method unreliable.,Whole Rock,Ar Furnace-Fusion,Estimate,Grenville Province,QC,51.39478,-68.77443,"Manicouagan crater, near center (location D in report). Coordinates approximated from sketch map in report.","AMCG Suite - Anorthosite Shock Sequence, Manicouagan Impact Structure",Metamorphic,"slightly shocked anorthosite (fractures, planar features, small amounts of glass)","Wolfe, S.H., 1971. Potassium-Argon ages of the Manicouagan-Mushalagan Lakes structure; Journal Of Geophysical Research, v. 76, p. 5424-5436",GSCdatabase,,,,,,
Manicouagan C,330,6,6,K/Ar,Metamorphic,Reported as 323 Ma to old Western constants; recalculated to IUGS (1977) decay constants. Error appears to have been reported to only 1 sigma (doubled herein). K/Ar whole-rock method unreliable.,Whole Rock,Ar Furnace-Fusion,Estimate,Grenville Province,QC,51.3845,-68.66443,"Manicouagan crater, near center (location C in report). Coordinates approximated from sketch map in report.","AMCG Suite - Anorthosite Shock Sequence, Manicouagan Impact Structure",Metamorphic,maskelynite (glass with composition of plagioclase; anorthosite protolith),"Wolfe, S.H., 1971. Potassium-Argon ages of the Manicouagan-Mushalagan Lakes structure; Journal Of Geophysical Research, v. 76, p. 5424-5436",GSCdatabase,,,,,,
Manicouagan B,328,8,8,K/Ar,Metamorphic,Reported as 321 Ma to old Western constants; recalculated to IUGS (1977) decay constants. Error appears to have been reported to only 1 sigma (doubled herein). K/Ar whole-rock method unreliable.,Whole Rock,Ar Furnace-Fusion,Estimate,Grenville Province,QC,51.37673,-68.6711,"Manicouagan crater, near center (location B in report). Coordinates approximated from sketch map in report.","AMCG Suite - Anorthosite Shock Sequence, Manicouagan Impact Structure",Metamorphic,totally maskelynitized (glass=plag composition) anorthosite,"Wolfe, S.H., 1971. Potassium-Argon ages of the Manicouagan-Mushalagan Lakes structure; Journal Of Geophysical Research, v. 76, p. 5424-5436",GSCdatabase,,,,,,
Manicouagan H,207,6,6,K/Ar,Metamorphic,Reported as 202 Ma to old Western constants; recalculated to IUGS (1977) decay constants. Error appears to have been reported to only 1 sigma (doubled herein). K/Ar whole-rock method unreliable.,Whole Rock,Ar Furnace-Fusion,Estimate,Grenville Province,QC,51.42145,-68.7161,"Manicouagan crater, near center (location H in report). Coordinates approximated from sketch map in report.","AMCG suite - Anorthosite Shock Sequence, Manicouagan Impact Structure",Metamorphic,"pseudotachylyte with shocked anorthosite inclusions, greyish matrix","Wolfe, S.H., 1971. Potassium-Argon ages of the Manicouagan-Mushalagan Lakes structure; Journal Of Geophysical Research, v. 76, p. 5424-5436",GSCdatabase,,,,,,
St. Simeon paragn,1350,132,132,Rb/Sr,Metamorphic,"5-pt regression, MSWD not reported; some scatter is evident on plot. Init Sr = 0.7096. Reported as 1379 Ma to decay constant 1.39E-11; recalculated to 1.42E-11.",Whole Rock,TIMS,Estimate,Grenville Province,QC,47.89224,-69.96618,NW of St. Simeon.,Allochthonous Polycyclic Belt - St. Simeon paragneiss,Metamorphic,"suite of samples from paragneiss body, which consists of biotite, garnet, porphyroblastic K-feldspar and quartz.","Frith, R.A. and Doig, R., 1973. Rb-Sr isotopic ages and petrologic studies of the rocks in the Lac St. Jean area, Quebec; Canadian Journal of Earth Sciences, v. 10, p. 881-899",GSCdatabase,,,,,,
37 slate quarry,946,28,28,K/Ar,Metamorphic,Reported as 918 Ma to old (non-Western) decay constants; recalibrated to IUGS (1977) decay constants. K/Ar whole-rock method unreliable.,Whole Rock,Ar Furnace-Fusion,Estimate,Grenville Province,ON,44.52478,-77.48724,"Slate quarry off Hastings Rd, N of Madoc. Coordinates approximated from poorly datumed sketch map in report (by OGS compilers - very approximate)",Elzevier terrane - unknown,Metamorphic,"metasediment / shale, with narrow bands of tuff","MacIntyre, R.M., York, D. and Moorehouse, W.W., 1967. Potassium-argon age determinations in the Madoc-Bancroft area in the Grenville Province of the Canadian Shield; Canadian Journal of Earth Sciences, v. 4, p. 815-828",GSCdatabase,,,,,,
Barrys Bay S,1090,90,90,Rb/Sr,Metamorphic,"4-pt regression, MSWD=0.7. Init Sr = 0.7034.",Whole Rock,TIMS,Direct,Grenville Province,ON,45.50006,-77.72058,"Near Barrys Bay, ""southern suite"". Location averaged for suite of samples. Not located in report by map or otherwise.",Central Metasedimentary Belt - Barrys Bay gneiss,Metamorphic,5 samples of granulite,"Bell, K. and Blenkinsop, J., 1980. Whole-rock Rb-Sr studies in the Grenville Province of Southeastern Ontario and Western Quebec; Current Research, Part C, Geological Survey of Canada Paper 80-1C, p. 152-154",GSCdatabase,,,,,,
Radcliffe hybrid gn,1020,70,70,Rb/Sr,Metamorphic,"4-pt regrssion, MSWD=1.3. Init Sr = 0.7041.",Whole Rock,TIMS,Direct,Grenville Province,ON,45.50423,-77.71642,Radcliffe gneiss. Location averaged for suite of samples. Not located in report by map or otherwise.,Central Metasedimentary Belt - Radcliffe gneiss,Metamorphic,5 samples of hybrid gneiss,"Bell, K. and Blenkinsop, J., 1980. Whole-rock Rb-Sr studies in the Grenville Province of Southeastern Ontario and Western Quebec; Current Research, Part C, Geological Survey of Canada Paper 80-1C, p. 152-154",GSCdatabase,,,,,,
Tonalitic gneisses,1089,66,66,Rb/Sr,Metamorphic,"4-pt regression, MSWD=not reported. Data reasonably tight to the isochron in plot. Age reported as 1112 Ma to decay constant of 1.39E-11; recalibrated to 1.42E-11 (IUGS 1977 recommended). Of a large sample set, only 4 ""most metam'd"" used.",Whole Rock,TIMS,Estimate,Grenville Province,QC,49.38728,-74.069,"Various locations along highway between Chibougamau and Chicoutimi, approx. 70 km stretch. Locations represent position of medial sample ""H"".",Parauthochthonous Belt - unknown (tonalitic gneisses),Metamorphic,18 samples of tonalitic gneiss,"Frith, R.A. and Doig, R., 1975. Pre-Kenoran tonalitic gneisses in the Grenville Province; Canadian Journal of Earth Sciences, v. 12, p. 844-849",GSCdatabase,,,,,,
1a Burleigh,1080,39,39,Rb/Sr,Metamorphic,"7-pt regression, MSWD not reported, minor scatter apparent on plot. Technique (XRF) outmoded. Init Sr = 0.7046. Reported as 1103 using decay constant of 1.39E-11; recalculated to 1.42E-11 (IUGS 1977).",Whole Rock,TIMS,Direct,Grenville Province,ON,44.58339,-78.36644,No geographic description.,Frontenac terrane - Burleigh Dome,Metamorphic,"suite of 7 samples of paragneiss, including a biotite gneiss, feldspathic gneiss, secretion-type pegmatite, amphibolite, and orthogneiss","Krogh, T.E. and Hurley, P.M., 1968. Strontium isotopic variations and whole-rock isochron studies in the Grenville Province of Ontario; Journal Of Geophysical Research, v. 73, p. 7107-7125",GSCdatabase,,,,,,
1b Burleigh,1034,33,33,Rb/Sr,Metamorphic,"4-pt regression, MSWD not reported, minor scatter apparent on plot. Technique (XRF) outmoded. Init Sr = 0.7044. Reported as 1056 using decay constant of 1.39E-11; recalculated to 1.42E-11 (IUGS 1977).",Whole Rock,TIMS,Estimate,Grenville Province,ON,44.59339,-78.34477,No geographic description.,Frontenac terrane - adjacent to Burleigh Dome,Sedimentary,4 samples of biotite muscovite quartz feldspar gneiss (metasedimentary ),"Krogh, T.E. and Hurley, P.M., 1968. Strontium isotopic variations and whole-rock isochron studies in the Grenville Province of Ontario; Journal Of Geophysical Research, v. 73, p. 7107-7125",GSCdatabase,,,,,,
Laurentides monz.II,1077,0,0,Rb/Sr,Peak Metamorphic,"7 samples analyzed, this age is for 4-pt ""reference isochron"" (scatter exceeds statistical fit) through right-most points. Reported as 1100 Ma to decay constant 1.39E-11; recalculated to 1.42E-11. Error not quantified.",Whole Rock,TIMS,Estimate,Grenville Province,QC,48.16671,-71.24121,S of Chicoutimi,Allochthonous Polycyclic Belt - Parc des Laurentides monzonite (II),Plutonic,"suite of samples from massive, slightly foliated pink medium-grained monzonite with slightly greenish overtones","Frith, R.A. and Doig, R., 1973. Rb-Sr isotopic ages and petrologic studies of the rocks in the Lac St. Jean area, Quebec; Canadian Journal of Earth Sciences, v. 10, p. 881-899",GSCdatabase,,,,,,
B.des Ha!Ha! paragn,1451,144,144,Rb/Sr,Metamorphic,"10-pt regression, MSWD not reported; some scatter is evident on plot. Init Sr = 0.7212. Reported as 1482 Ma to decay constant 1.39E-11; recalculated to 1.42E-11.",Whole Rock,TIMS,Estimate,Grenville Province,QC,48.35671,-70.78091,"S shore of river, SE of Chicoutimi",Allochthonous Polycyclic Belt - Baie des Ha! Ha! paragneiss,Metamorphic,"suite of samples from narrow lenticular body made up of quartzite, arkosic paragneiss and metadiabse","Frith, R.A. and Doig, R., 1973. Rb-Sr isotopic ages and petrologic studies of the rocks in the Lac St. Jean area, Quebec; Canadian Journal of Earth Sciences, v. 10, p. 881-899",GSCdatabase,,,,,,
site 2 regional,990,181,181,Rb/Sr,Metamorphic,"5-pt regression, MSWD=18 (errorchron). Init Sr=0.711?7. Unpublished thesis age, report not available at time of posting to Knowledgebase. Information and age quality to be verified by user.",Whole Rock,TIMS,Estimate,Grenville Province,ON,44.90006,-78.05809,None,Central Metasedimentary Belt - regional gneisses,Metamorphic,Gneiss,"Heaman, L.M., 1985. A geochemical and isotopic study of plutonic and high grade metamorphic rocks from the Chandos Township area, Grenville Province, Ontario; unpublished Ph.D. thesis, McMaster University, Hamilton, Ontario, p. 307",GSCdatabase,,,,,,
site 3 regional,1021,263,263,Rb/Sr,Metamorphic,"5-pt regression, MSWD=53 (excessive). Init Sr = 0.711?9. Unpublished thesis age, report not available at time of posting to Knowledgebase. Information and age quality to be verified by user.",Whole Rock,TIMS,Estimate,Grenville Province,ON,44.95006,-78.01643,None,Central Metasedimentary Belt - regional gneisses,Metamorphic,Gneiss,"Heaman, L.M., 1985. A geochemical and isotopic study of plutonic and high grade metamorphic rocks from the Chandos Township area, Grenville Province, Ontario; unpublished Ph.D. thesis, McMaster University, Hamilton, Ontario, p. 307",GSCdatabase,,,,,,
site 4 regional,862,137,137,Rb/Sr,Metamorphic,"7-pt regression, MSWD=47 (excessive), Init Sr=0.720?10.",Whole Rock,TIMS,Estimate,Grenville Province,ON,44.93339,-78.04143,None,Central Metasedimentary Belt - regional gneisses,Metamorphic,Gneiss,"Heaman, L.M., 1985. A geochemical and isotopic study of plutonic and high grade metamorphic rocks from the Chandos Township area, Grenville Province, Ontario; unpublished Ph.D. thesis, McMaster University, Hamilton, Ontario, p. 307",GSCdatabase,,,,,,
B1-59-2870,385,17,17,K/Ar,Metamorphic,Reported as 377 Ma; recalibrated to IUGS (1977) decay constants. K/Ar whole-rock method unreliable.,Whole Rock,Ar Furnace-Fusion,Estimate,Grenville Province,ON,46.06673,-78.48311,Drillcore (well B1-59) in center of Brent Crater . Coordinates approximate,Central Gneiss Belt - Brent Crater,Metamorphic,thermal aureole of crater,"Hartung, J.B., Dence, M.R. and Adams, J.A.S., 1971. Potassium-argon dating of shock-metamorphosed rocks from the Brent Impact Crater, Ontario, Canada; Journal Of Geophysical Research, v. 76, p. 5437-5448",GSCdatabase,,,,,,
B1-51-2888,388,17,17,K/Ar,Metamorphic,Reported as 380 Ma; recalibrated to IUGS (1977) decay constants. K/Ar whole-rock method unreliable.,Whole Rock,Ar Furnace-Fusion,Estimate,Grenville Province,ON,46.06673,-78.48311,Drillcore (well B1-59) in center of Brent Crater . Coordinates approximate,Central Gneiss Belt - Brent Crater,Metamorphic,thermal aureole of crater,"Hartung, J.B., Dence, M.R. and Adams, J.A.S., 1971. Potassium-argon dating of shock-metamorphosed rocks from the Brent Impact Crater, Ontario, Canada; Journal Of Geophysical Research, v. 76, p. 5437-5448",GSCdatabase,,,,,,
B1-59-2842,343,15,15,K/Ar,Metamorphic,Reported as 336 Ma; recalibrated to IUGS (1977) decay constants. K/Ar whole-rock method unreliab,Whole Rock,Ar Furnace-Fusion,Estimate,Grenville Province,ON,46.06673,-78.48311,Drillcore (well B1-59) in center of Brent Crater . Coordinates approximate,Central Gneiss Belt - Brent Crater,Metamorphic,thermal aureole of crater,"Hartung, J.B., Dence, M.R. and Adams, J.A.S., 1971. Potassium-argon dating of shock-metamorphosed rocks from the Brent Impact Crater, Ontario, Canada; Journal Of Geophysical Research, v. 76, p. 5437-5448",GSCdatabase,,,,,,
McKellar gn,1241,12,12,Rb/Sr,Metamorphic,"11-pt regression, MSWD=2.23. Init Sr = 0.7036. Further work is needed, given that this age is significantly younger than metamorphism dates achieved by U-Pb method",Whole Rock,TIMS,Estimate,Grenville Province,ON,45.61672,-79.92066,"Just S of McKellar on Hwy 124, Parry Sound area. Coordinates approximated from regional-scale sketch map in report.","Central Gneiss Belt, Parry Sound Domain - McKellar Gneiss",Metamorphic,suite of 12 samples of gneiss,"Connare, K.M. and McNutt, R.H., 1985. Rb-Sr geochronology of the Nobel gneiss and McKellar gneiss, Parry Sound region, Ontario;; Current Research, Part A, Geological Survey of Canada Paper 85-1A, p. 175-180",GSCdatabase,,,,,,
13-10+13-3,1145,0,0,Rb/Sr,Metamorphic,"2-pt best-fit line ""apparent isochron"" (not statistically valid as regression), Init Sr = 0.716. Reported as 1170 to assumed decay constant of 1.39E-11; recalc'd to 1.42E-11 (IUGS 1977). Error not reported; no analytical data in report.",Whole Rock,TIMS,Estimate,Grenville Province,ON,45.38339,-80.23318,Parry Sound. Coordinates approximated from sketch map in report.,Central Gneiss Belt - unknown,Metamorphic,2 samples of paragneiss,"Krogh, T.E. and Davis, G.L., 1968. Geochronology of the Grenville Province; Carnegie Institution Of Washington, Yearbook, v. 67, p. 224-230",GSCdatabase,,,,,,
14-7+14-10,1263,0,0,Rb/Sr,Metamorphic,"2-pt best-fit line ""apparent isochron"" (not statistically valid as regression), Init Sr = 0.703. Reported as 1290 to assumed decay constant of 1.39E-11; recalc'd to 1.42E-11 (IUGS 1977). Error not reported; no analytical data in report",Whole Rock,TIMS,Estimate,Grenville Province,ON,45.03338,-79.66649,W shore Lake Muskoka. Coordinates approximated from sketch map in report.,Central Gneiss Belt - unknown,Metamorphic,2 samples of paragneiss,"Krogh, T.E. and Davis, G.L., 1968. Geochronology of the Grenville Province; Carnegie Institution Of Washington, Yearbook, v. 67, p. 224-230",GSCdatabase,,,,,,
site B Apsley,1256,119,119,Rb/Sr,Metamorphic,"4-regression, MSWD=1.7. Init Sr=0.7037?7",Whole Rock,TIMS,Direct,Grenville Province,ON,44.77228,-78.09976,None,Central Metasedimentary Belt - Apsley gneiss,Metamorphic,Gneiss,"Heaman, L.M., 1985. A geochemical and isotopic study of plutonic and high grade metamorphic rocks from the Chandos Township area, Grenville Province, Ontario; unpublished Ph.D. thesis, McMaster University, Hamilton, Ontario, p. 307",GSCdatabase,,,,,,
Apsley reg. sodic,1107,35,35,Rb/Sr,Metamorphic,"7 of 9 slabs, MSWD=3.12 (bit high), Init Sr =0.7062?4. Unpublished thesis age, report not available at time of posting to Knowledgebase. Information and quality to be verified by user",Whole Rock,TIMS,Unverified,Grenville Province,ON,44.76673,-78.09143,Coordinates approximate for regionally sampled suite.,Central Metasedimentary Belt - Apsley gneiss,Metamorphic,suite of sodic gneiss samples,"Heaman, L.M., 1985. A geochemical and isotopic study of plutonic and high grade metamorphic rocks from the Chandos Township area, Grenville Province, Ontario; unpublished Ph.D. thesis, McMaster University, Hamilton, Ontario, p. 307",GSCdatabase,,,,,,
Apsley reg. potassic,979,131,131,Rb/Sr,Metamorphic,"5-pt regression, MSWD =8.95 (errorchron). Init Sr =0.7143?70. Unpublished thesis age, report not available at time of posting to Knowledgebase. Information and quality to be verified by user.",Whole Rock,TIMS,Unverified,Grenville Province,ON,44.75006,-77.99976,Regionally collected suite of rocks; coordinates approximate.,Central Metasedimentary Belt - Apsley gneiss,Metamorphic,suite of 5 samples of potassic gneiss (regional samples),"Heaman, L.M., 1985. A geochemical and isotopic study of plutonic and high grade metamorphic rocks from the Chandos Township area, Grenville Province, Ontario; unpublished Ph.D. thesis, McMaster University, Hamilton, Ontario, p. 307",GSCdatabase,,,,,,
site A Apsley,1151,67,67,Rb/Sr,Metamorphic,"Slabbed whole-rock, n=4,Isr=0.7056/7,MSWD=5",Whole Rock,TIMS,Estimate,Grenville Province,ON,44.76673,-78.09143,Coordinates approximate.,Central Metasedimentary Belt - Apsley Gneiss,Metamorphic,"gneiss, sodic suite","Heaman, L.M., 1985. A geochemical and isotopic study of plutonic and high grade metamorphic rocks from the Chandos Township area, Grenville Province, Ontario; unpublished Ph.D. thesis, McMaster University, Hamilton, Ontario, p. 307",GSCdatabase,,,,,,
La Verendrye Loc-H,1900,392,392,Rb/Sr,Metamorphic,"6-pt regression, Init Sr =0.7050. Age reported as 1937 Ma to decay constant of 1.39E-11; recalculated to 1.42E-11 (IUGS 1977). MSWD not reported; 2 points are well off the chord in plot, resulting in poor precision.",Whole Rock,TIMS,Estimate,Grenville Province,QC,47.00006,-76.49968,On Hwy 58 between Val D'or and Mont Laurier. Location interpolated from sketch map in report (by OGS compilers),Parauthochthonous Belt - unknown,Metamorphic,6 samples of granitic gneiss,"Doig, R., 1977. Rb-Sr geochronology and evolution of the Grenville Province in northwestern Quebec; Geological Society of America Bulletin, v. 88, p. 1843-1856",GSCdatabase,,,,,,
